price,miles,fuel_type,exterior_color,interior_color,drivetrain,transmission,engine,model_name
14335,5, Gasoline, Lightning Blue Metallic, Charcoal Black, FWD,Auto,V4,Fiesta
14500,63459, Gasoline, Black, Black, FWD,Auto,V2,Taurus
17765,5, Gasoline, Magnetic, Charcoal Black, FWD,Auto,V2,Focus
16431,26, Gasoline, White Gold, Medium Light Stone, FWD,Auto,V4,Focus
15614,28786, Gasoline, Oxford White, Charcoal Black, FWD,Auto,V2,Escape
43775,2, Gasoline, Ft Blue Metallic, Ebony, 4WD,Auto,V3,Explorer
14591,2, Gasoline, Ingot Silver, Charcoal Black, FWD,Auto,V4,Fiesta
10980,59395, Gasoline, Colorado Red, Black, 2WD,Auto,V2,Ranger
78087,12, Gasoline, Agate Black Metallic, Ebony, 4WD,Auto,V2,Expedition
50493,14, Gasoline, Agate, Ebony, 4WD,Auto,V2,Explorer
24619,63, Gasoline, Shadow Black, LEATHER-TRIM BUCKET SEATS CHARCOAL BLACK, FWD,Auto,V2,Focus
45740,7, Gasoline, Oxford White, Ebony, RWD,Manual,V3,Mustang
4497,162660, Gasoline, Red, Select, RWD,Auto,V2,Mustang
25765,23359, Gasoline, White Platinum Tri-Coat Metallic, Medium Soft Ceramic, AWD,Auto,V2,Fusion
35945,2, Gasoline, Ruby Red, Ebony, AWD,Auto,V2,Edge
19656,25414, Gasoline, Ingot Silver Metallic, Charcoal Black, 4WD,Auto,V4,Escape
25243,14, Gasoline, Canyon Ridge Metallic, Ebony, 4WD,Auto,V2,EcoSport
16890,37234, Hybrid, Shadow Black, Ebony, FWD,Auto,V2,Fusion Hybrid
53494,31564, Diesel, Oxford White, Adobe, 4WD,Auto,V2,F-350
17777,102279, Gasoline, Black, Charcoal Black, FWD,Auto,V2,Flex
35198,48663, Gasoline, Magnetic, Ebony, 4WD,Auto,V2,Expedition EL
38136,1, Gasoline, Oxford White, Charcoal Black, RWD,Auto,V2,Transit-250
31998,16308, Gasoline, Oxford White, Medium Earth Gray, 4WD,Auto,V2,F-150
38265,2, E85 Flex Fuel, Oxford White, Medium Earth Gray, 4WD,Auto,V2,F-150
8950,103000, Unknown, Kodiac Brown Metallic, Tan, FWD,Auto,V3,Taurus
79596,10, Diesel, White Platinum Tri-Coat, Black, 4X4,Auto,V6,F-350
17395,19215, Gasoline, Black, Medium Light Stone, FWD,Auto,V4,Escape
17845,87, E85 Flex Fuel, Magnetic, Charcoal Black, FWD,Auto,V2,Focus
27995,6380, Gasoline, White, Tan, RWD,Auto,V3,Model Unknown
80116,5, Gasoline, White Platinum Tri-Coat Metallic, Medium Soft Ceramic, 4WD,Auto,V2,Expedition Max
20000,35442, Gasoline, Green, Black, RWD,Manual,V2,Mustang
25913,10, E85 Flex Fuel, Ruby Red, Charcoal Black, FWD,Auto,V4,Escape
20500,18866, Hybrid, Lightning Blue, Ebony, FWD,CVT,V2,Fusion Hybrid
36731,7, Gasoline, Oxford White, Medium Earth Gray, 4WD,Auto,V2,F-150
13770,80203, Gasoline, Ruby Red Metallic, Medium Light Stone, ALL WHEEL,Auto,V3,Edge
33936,12, Gasoline, White Platinum Metallic Tri-Coat, Ebony, AWD,Auto,V2,Edge
57442,7, Gasoline, Black Sapphire Metallic, Brown, AWD,Auto,V3,Model Unknown
10500,61803, Gasoline, Bordeaux Reserve, Dune, FWD,Auto,V4,Fusion
47995,14428, Diesel, White, Gray, 4WD,Auto,V2,F-250
13586,114091, Gasoline, White Platinum Tricoat, Charcoal Black w/Heated Full Leather-Trimmed Sport, 4WD,Auto,V2,Escape
18938,113172, E85 Flex Fuel, Black, Charcoal Black, 4WD,Auto,V2,Explorer
39261,1, Gasoline, Kona Blue Metallic, Ebony, RWD,Auto,V5,Mustang
34441,3, E85 Flex Fuel, Oxford White, Medium Earth Gray, 4WD,Auto,V2,F-250
58305,3, Gasoline, Oxford White, Ebony, RWD,Manual,V2,Shelby GT350
14499,98549, Gasoline, Black, Sienna / Charcoal Black, AWD,Auto,V2,Edge
22294,11, Gasoline, Shadow Black, Ebony Black, 4WD,Auto,V2,EcoSport
45888,200, Gasoline, Oxford White, Pewter W/Vinyl Front Bucket Seats, RWD,Auto,V2,Transit-350
40999,2, Gasoline, White Platinum Tri-Coat Metallic, Ebony, 4WD,Auto,V2,Explorer
17309,5, Gasoline, Magnetic Metallic, Charcoal Black, FWD,Auto,V2,Focus
8477,169705, Gasoline, Red Candy Metallic, Medium Light Stone, AWD,Auto,V2,Flex
31988,116189, Diesel, Oxford White, Black, 4WD,Auto,V2,F-350
23996,49845, Gasoline, Black, Charcoal Black, AWD,Auto,V2,Flex
20998,64401, Gasoline, Silver, Black, AWD,Auto,V2,Edge
55630,142, Gasoline, Magnetic Metallic, Ebony Black, 4WD,Auto,V2,Explorer
12998,58502, Gasoline, Tectonic, Ebony, FWD,Auto,V2,Fusion
67917,12726, Diesel, Ingot Silver Metallic, Black, 4WD,Auto,V4,F-350
16998,110844, Gasoline, White Platinum Tri-Coat Metallic, Charcoal Black, AWD,Auto,V2,Edge
7995,114680, E85 Flex Fuel, Burgundy, Gray, FWD,Auto,V2,Focus
