price,price2,miles,fuel type,exterior color,interior color,drivetrain,transmission,engine,VIN,name,seller_address,id,model_name
"$18,495","$18,495","39,338 miles", Gasoline, Silver, Ebony, RWD, 6-Speed Shiftable Automatic, 4 Cylinder, 1FATP8UHXG5221809,Used 2016 Ford Mustang EcoBoost Premium,"4747 S Pulaski Rd, Chicago, IL 60632",740949033,Mustang
"$50,315","$50,315",, E85 Flex Fuel, Satin Steel Metallic, JET BLACK,," TRANSMISSION, 8-SPEED AUTOMATIC",, 1GCUYDED0KZ153814,New 2019 Chevrolet Silverado Short Crew 1500 4WD,"945 SE Oldham Pkwy, Lee's Summit, MO 64081",754563257,Model Unknown
"$15,545","$15,545","61,303 miles", Gasoline, Silver, Charcoal Black, FWD, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 1FAHP2E82GG113741,Used 2016 Ford Taurus SEL,"308 N Outer Rd, St James, MO 65559",751209383,Taurus
"$23,570","$23,570",10 miles, Gasoline, Frozen White, Ebony, FWD, 8-Speed Automatic, 2.0L I4 16V GDI DOHC, NM0LS7E24K1387625,New 2019 Ford Transit Connect XL,"N88 W14300 Main Street, Menomonee Falls, WI 53051",745757225,Transit Connect
"$42,000","$42,000",1 miles, Gasoline, White Platinum Clearcoat Metallic, Charcoal Black, AWD, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 2FMHK6D80JBA19644,New 2018 Ford Flex Limited,"13901 Washington St, Kansas City, MO 64145",734045188,Flex
"$17,995","$17,995","155,686 miles", Diesel, Oxford White, Camel, 4WD, 5-Speed Automatic, 6.4L V8 32V DDI OHV Twin Turbo Diesel, 1FTWW31R58EA74214,Used 2008 Ford F-350 Lariat Super Duty,"132 19th St SW, Forest Lake, MN 55025",755001552,F-350
"$19,950","$19,950","40,226 miles", Gasoline, Burgundy, Gray, Automatic 5-Speed, Automatic 5-Speed, V10 6.8L Natural Aspiration, 1FTSX21Y18EA92240,Used 2008 Ford F-250 Lariat SuperCab Super Duty,"75 W 135th St, Kansas City, MO 64145",752180834,F-250
"$27,451","$27,451",5 miles, Gasoline, Shadow Black, Ebony, FWD, 6-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 2FMPK3J83JBC18945,New 2018 Ford Edge SEL,"1508 Morrissey Dr, Bloomington, IL 61701",739205763,Edge
"$33,851","$33,851",8 miles, E85 Flex Fuel, Black Metallic, Charcoal Black, 4WD, 6-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo Flexible Fuel, 1FMCU9J97KUA05898,New 2019 Ford Escape Titanium,"17219 US-10, Elk River, MN 55330",752692800,Escape
"$48,075","$48,075",, Gasoline, Burgundy Velvet Metallic Tinted Clearcoat, Medium Stone, 4WD, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 1FM5K8D85KGA50039,New 2019 Ford Explorer XLT,"600 W. Northwest Highway, Barrington, IL 60010",754112022,Explorer
"$23,722","$23,722",, Gasoline, White Platinum, Ebony, 4WD, 6-Speed Automatic, I4, MAJ6P1ULXJC228710,New 2018 Ford EcoSport SE,"7200 150th St W, Apple Valley, MN 55124",741567839,EcoSport
"$23,995","$23,995","16,845 miles", Gasoline, White, Medium Pewter, RWD, 6-Speed Shiftable Automatic, Vortec 4.8L V8 285hp 295f, 1GTW7AFF2H1913923,"Used 2017 GMC RWD 2500 135""","3209 W Lincoln Hwy, Merrillville, IN 46410",753916934,Model Unknown
"$16,995","$16,995",10 miles, Gasoline, Magnetic Metallic, Medium Light Stone, FWD, 6-Speed Automatic, 2.0L I4 16V GDI DOHC, 1FADP3F20JL309559,New 2018 Ford Focus SE,"2525 E Main St, St Charles, IL 60174",737639023,Focus
"$29,799","$29,799","91,435 miles", Gasoline, White Platinum Clearcoat Metallic, Ebony, 4WD, 6-Speed Automatic, 3.5L V6 24V GDI DOHC Twin Turbo, 1FMJK1MT0FEF20831,Used 2015 Ford Expedition EL Platinum,"17219 US-10, Elk River, MN 55330",746137808,Expedition EL
"$51,005","$51,005",, E85 Flex Fuel, Silver Ice Metallic, JET BLACK,," TRANSMISSION, 8-SPEED AUTOMATIC",, 1GCUYDED4KZ116328,New 2019 Chevrolet Silverado Short Crew 1500 4WD,"1450 Delanglade St, Kaukauna, WI 54130",754479054,Model Unknown
"$23,200","$23,200",40 miles, E85 Flex Fuel, Shadow Black,, FWD,, 2.0L 4 Cyl., 1FADP3F23JL303660,New 2018 Ford Focus SE,"4725 S Robert Trail, Inver Grove Heights, MN 55077",743812132,Focus
"$22,494","$22,494","25,798 miles", Gasoline, Red, Ebony,, Automatic 6-Speed, 2.3L I4, 1FA6P8TH4G5211713,Used 2016 Ford Mustang EcoBoost,"3426 W Capital Ave, Grand Island, NE 68803",752735449,Mustang
"$15,999","$15,999","80,480 miles", Gasoline, White, Black, AWD, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 2FMDK4KC1CBA79865,Used 2012 Ford Edge Limited,"988 S Green Bay Rd, Neenah, WI 54956",755220307,Edge
"$11,631","$11,631","29,989 miles", E85 Flex Fuel, Ingot Silver, Charcoal Black, FWD, 6-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Flexible Fuel, 1FADP3F23FL368984,Used 2015 Ford Focus SE,"610 Ste Genevieve Dr, Ste. Genevieve, MO 63670",749398916,Focus
"$16,036","$16,036","27,365 miles", Gasoline, White Platinum Tri-Coat Metallic, Medium Soft Ceramic, FWD, 6-Speed Automatic, 1.5L I4 16V GDI DOHC Turbo, 3FA6P0HD6GR213452,Used 2016 Ford Fusion SE,"9800 Indianapolis Blvd, Highland, IN 46322",755447568,Fusion
"$16,995","$16,995","82,588 miles", Gasoline, White, Black, 4WD, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 1FM5K8F87DGA14367,Used 2013 Ford Explorer Limited,"2702 6th St SW, Cedar Rapids, IA 52404",755990146,Explorer
"$24,990",,"22,912 miles", Gasoline, White,, RWD,, Intercooled Turbo Premium Unleaded I-4 2.3 L/140, 1FATP8UH4G5260606,Used 2016 Ford Mustang EcoBoost Premium,"500 Fairlane Dr, East Peoria, IL 61611",751734779,Mustang
"$57,825",,, E85 Flex Fuel, Shadow Gray Metallic, GIDEON / VERY DARK ATMOSPHERE,," TRANSMISSION, 8-SPEED AUTOMATIC",, 1GCUYGED5KZ140204,New 2019 Chevrolet Silverado Short Crew 1500 4WD,"805 E Champ Clark Dr, Bowling Green, MO 63334",754565592,Model Unknown
"$24,520",,"55,819 miles", Gasoline, Ingot Silver Metallic, Ebony, AWD, 6-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 2FMPK4K94HBB75594,Used 2017 Ford Edge Titanium,"3851 4th St SW, Mason City, IA 50401",751066765,Edge
"$30,539",,"22,993 miles", Gasoline, Blue Jeans Metallic, Dark Earth Gray, AWD, 6-Speed Automatic with Select-Shift, 3.5L 6-Cylinder SMPI DOHC, 1FM5K8D81HGC52630,Used 2017 Ford Explorer XLT,"434 4th St S, La Crosse, WI 54601",753603086,Explorer
"$11,414",,"32,890 miles", Gasoline, Magnetic, Charcoal Black, FWD, Automatic, 2.0 L, 1FADP3K28GL260013,Used 2016 Ford Focus SE,"1910 W Jesse James Rd, Excelsior Springs, MO 64024",754838088,Focus
"$55,999",,"21,235 miles", Gasoline, Shadow Black, Ebony, 4WD, Automatic, EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged, 1FMJK1JT6JEA34733,Used 2018 Ford Expedition Max XLT,"120 Diers Ave, Grand Island, NE 68803",756170806,Expedition Max
